name_with_owner,stargazer_count,created_at,repository_age_days,merged_pull_requests,release_count,pushed_at,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
swc-project/swc,34177,2017-12-22T11:40:14Z,3158,6165,816,2026-08-15T07:38:22Z,1,Rust,4231,3876,0.9160954857007799
openai/CLIP,34171,2020-12-16T11:24:42Z,2068,30,0,2026-03-25T18:46:40Z,144,Jupyter Notebook,445,193,0.4337078651685393
balena-io/etcher,34163,2015-10-27T16:53:23Z,3945,1733,291,2026-06-02T09:25:23Z,75,TypeScript,2501,1861,0.7441023590563774
ehang-io/nps,34162,2018-11-04T13:22:51Z,2841,74,59,2024-05-30T03:51:08Z,808,Go,1204,699,0.5805647840531561
backstage/backstage,34151,2020-01-24T22:39:49Z,2395,21578,541,2026-08-14T17:31:48Z,2,TypeScript,7728,7544,0.9761904761904762
zenorocha/clipboard.js,34126,2015-09-18T23:04:55Z,3984,117,42,2026-02-12T18:51:57Z,185,JavaScript,629,618,0.9825119236883942
testerSunshine/12306,34096,2017-05-17T12:23:40Z,3377,31,1,2023-04-02T03:19:43Z,1232,Python,690,466,0.6753623188405797
xkcoding/spring-boot-demo,34078,2017-11-10T06:27:29Z,3200,15,0,2024-07-24T02:02:52Z,753,Java,175,74,0.4228571428571429
seaweedfs/seaweedfs,34078,2014-07-14T16:41:37Z,4415,5260,315,2026-08-16T05:30:42Z,0,Go,4012,3331,0.830259222333001
zxing/zxing,34068,2011-10-12T14:07:27Z,5421,387,32,2026-07-28T13:28:47Z,19,Java,1352,1352,1.0
lllyasviel/ControlNet,34068,2023-02-01T02:43:30Z,1292,5,0,2024-02-25T09:49:39Z,903,Python,576,138,0.23958333333333334
fish-shell/fish-shell,34025,2012-05-10T03:00:55Z,5211,2212,67,2026-08-16T03:36:19Z,0,Rust,8180,7665,0.937041564792176
chenfei-wu/TaskMatrix,34014,2023-03-02T09:04:28Z,1262,21,0,2024-01-06T02:41:20Z,953,Python,364,136,0.37362637362637363
aristocratos/btop,34006,2021-05-06T18:40:21Z,1927,454,55,2026-08-08T19:49:45Z,8,C++,982,525,0.5346232179226069
OpenBMB/ChatDev,34004,2023-08-28T02:18:13Z,1084,161,12,2026-07-24T08:01:27Z,23,Python,333,287,0.8618618618618619
qdrant/qdrant,33993,2020-05-30T21:37:01Z,2268,6621,116,2026-08-15T23:41:16Z,1,Rust,1956,1468,0.7505112474437627
MonitorControl/MonitorControl,33978,2017-09-16T21:13:40Z,3255,223,26,2026-08-11T12:43:28Z,5,Swift,1026,1014,0.9883040935672515
atlassian/react-beautiful-dnd,33952,2017-08-09T03:37:15Z,3294,531,68,2025-08-18T04:35:31Z,363,JavaScript,1618,1047,0.6470951792336218
lightpanda-io/browser,33918,2023-02-07T15:19:34Z,1285,2456,19,2026-08-15T18:48:10Z,1,Zig,500,425,0.85
pcottle/learnGitBranching,33882,2012-08-13T22:36:09Z,5115,692,0,2026-08-11T14:26:49Z,5,JavaScript,547,491,0.8976234003656307
